defect_id,defect_date,equipment_id,equipment_type,defect_type,severity,root_cause_category,root_cause,rework_cost,rework_hours,detected_at,status
DEF000504,2024-08-28,EQ0030,Loader,Paint Finish,Minor,Method,Incorrect Procedure,1990.72,2.44,In-Process,Open
DEF000505,2024-07-04,EQ0036,Bulldozer,Dimensional Variance,Minor,Environment,Humidity,285.04,1.24,Customer,Closed
DEF000506,2024-04-05,EQ0003,Excavator,Weld Defect,Minor,Machine,Tool Wear,1601.4,1.75,Final Inspection,Closed
DEF000507,2023-08-23,EQ0006,Dump Truck,Weld Defect,Major,Measurement,Calibration Issue,4957.33,10.25,Final Inspection,Closed
DEF000508,2024-07-08,EQ0002,Grader,Hydraulic Leak,Minor,Man,Fatigue,1063.73,3.02,In-Process,Closed
DEF000509,2024-08-24,EQ0036,Bulldozer,Weld Defect,Minor,Environment,Temperature Variation,1646.56,0.61,Final Inspection,In Progress
DEF000510,2022-09-09,EQ0044,Loader,Weld Defect,Major,Material,Substandard Material,3069.38,11.5,Customer,Closed
DEF000511,2022-03-30,EQ0034,Bulldozer,Paint Finish,Major,Method,Process Not Followed,3400.61,6.22,In-Process,In Progress
DEF000512,2022-03-21,EQ0014,Bulldozer,Paint Finish,Minor,Material,Wrong Specification,426.88,1.63,Customer,Closed
DEF000513,2024-09-05,EQ0046,Excavator,Weld Defect,Minor,Machine,Tool Wear,1582.61,1.14,Customer,Open
DEF000514,2023-11-11,EQ0042,Bulldozer,Weld Defect,Minor,Man,Insufficient Training,1365.53,1.53,Final Inspection,In Progress
DEF000515,2024-09-10,EQ0023,Loader,Alignment Issue,Minor,Material,Wrong Specification,719.43,3.25,In-Process,Closed
DEF000516,2024-06-14,EQ0002,Grader,Paint Finish,Major,Machine,Calibration Drift,6768.63,4.32,In-Process,Closed
DEF000517,2022-06-17,EQ0015,Bulldozer,Assembly Error,Major,Machine,Equipment Malfunction,6100.58,4.18,Customer,Open
DEF000518,2022-01-07,EQ0044,Loader,Dimensional Variance,Minor,Man,Fatigue,1385.14,3.81,Final Inspection,Open
DEF000519,2022-10-21,EQ0036,Bulldozer,Electrical Fault,Major,Measurement,Calibration Issue,2099.37,9.72,Customer,Closed
DEF000520,2023-05-20,EQ0034,Bulldozer,Electrical Fault,Minor,Material,Substandard Material,1482.26,1.62,In-Process,Closed
DEF000521,2023-09-18,EQ0017,Loader,Weld Defect,Minor,Man,Insufficient Training,451.9,3.51,In-Process,Closed
DEF000522,2023-11-03,EQ0010,Excavator,Hydraulic Leak,Minor,Man,Fatigue,1007.53,0.69,Customer,Open
DEF000523,2024-01-14,EQ0018,Grader,Paint Finish,Major,Method,Incorrect Procedure,4137.66,5.07,Final Inspection,Closed
DEF000524,2023-03-16,EQ0035,Loader,Paint Finish,Major,Environment,Vibration,4068.52,7.29,Final Inspection,Open
DEF000525,2024-08-02,EQ0015,Bulldozer,Weld Defect,Minor,Method,Incorrect Procedure,1464.19,3.93,Final Inspection,In Progress
DEF000526,2023-02-21,EQ0046,Excavator,Weld Defect,Major,Machine,Tool Wear,4573.82,2.3,Customer,Open
DEF000527,2024-05-12,EQ0002,Grader,Weld Defect,Minor,Environment,Vibration,1439.09,1.34,Customer,Open
DEF000528,2024-05-24,EQ0009,Dump Truck,Material Defect,Minor,Measurement,Gauge Error,1110.85,3.61,Final Inspection,Open
DEF000529,2024-09-09,EQ0041,Dump Truck,Hydraulic Leak,Major,Machine,Calibration Drift,2996.69,7.55,Customer,Open
DEF000530,2023-10-04,EQ0025,Excavator,Weld Defect,Minor,Environment,Temperature Variation,750.31,1.64,Final Inspection,Closed
DEF000531,2023-04-09,EQ0026,Grader,Hydraulic Leak,Minor,Measurement,Gauge Error,1121.34,0.86,Final Inspection,Closed
DEF000532,2024-09-06,EQ0026,Grader,Weld Defect,Major,Method,Process Not Followed,3670.61,2.88,Customer,Closed
DEF000533,2022-11-29,EQ0038,Loader,Hydraulic Leak,Major,Machine,Tool Wear,7525.0,11.87,Final Inspection,Open
DEF000534,2023-06-11,EQ0022,Excavator,Bolt Torque,Minor,Material,Substandard Material,974.02,3.9,Customer,Closed
DEF000535,2022-03-01,EQ0049,Excavator,Electrical Fault,Critical,Method,Incorrect Procedure,15645.32,25.73,Customer,Open
DEF000536,2024-12-24,EQ0015,Bulldozer,Alignment Issue,Minor,Man,Fatigue,1430.76,1.69,In-Process,Closed
DEF000537,2024-04-18,EQ0015,Bulldozer,Electrical Fault,Major,Method,Process Not Followed,3012.43,8.51,Customer,Closed
DEF000538,2024-11-24,EQ0048,Bulldozer,Paint Finish,Minor,Environment,Humidity,1821.7,2.84,Customer,In Progress
DEF000539,2024-06-16,EQ0034,Bulldozer,Weld Defect,Minor,Method,Process Not Followed,867.68,3.21,Customer,Closed
DEF000540,2023-12-15,EQ0016,Dump Truck,Dimensional Variance,Major,Measurement,Gauge Error,4628.19,3.11,In-Process,Open
DEF000541,2022-05-27,EQ0048,Bulldozer,Paint Finish,Minor,Environment,Vibration,1516.03,2.63,In-Process,Open
DEF000542,2023-09-05,EQ0048,Bulldozer,Hydraulic Leak,Major,Man,Insufficient Training,5259.05,10.6,In-Process,In Progress
DEF000543,2024-12-19,EQ0015,Bulldozer,Paint Finish,Minor,Material,Substandard Material,1865.79,3.34,Final Inspection,Closed
DEF000544,2022-11-24,EQ0005,Loader,Hydraulic Leak,Major,Environment,Temperature Variation,4663.59,2.83,Customer,Open
DEF000545,2023-03-06,EQ0030,Loader,Hydraulic Leak,Major,Man,Fatigue,4040.92,7.36,In-Process,Closed
DEF000546,2024-10-03,EQ0003,Excavator,Surface Scratch,Major,Man,Operator Error,7616.82,5.37,Customer,Closed
DEF000547,2022-12-08,EQ0037,Dump Truck,Surface Scratch,Minor,Machine,Equipment Malfunction,1238.77,1.8,Final Inspection,Closed
DEF000548,2023-03-02,EQ0004,Excavator,Weld Defect,Minor,Material,Wrong Specification,360.97,3.4,Customer,Closed
DEF000549,2022-02-12,EQ0039,Bulldozer,Dimensional Variance,Minor,Environment,Humidity,1548.2,3.19,In-Process,Open
DEF000550,2024-03-19,EQ0036,Bulldozer,Weld Defect,Minor,Measurement,Gauge Error,419.35,1.34,In-Process,Open
DEF000551,2024-12-26,EQ0011,Bulldozer,Weld Defect,Minor,Material,Material Contamination,1053.76,0.97,In-Process,Open
DEF000552,2024-05-23,EQ0026,Grader,Weld Defect,Major,Man,Fatigue,4717.83,10.26,Customer,Open
DEF000553,2022-03-29,EQ0026,Grader,Paint Finish,Major,Method,Incorrect Procedure,1949.4,4.12,Final Inspection,Open
DEF000554,2023-12-04,EQ0009,Dump Truck,Material Defect,Minor,Method,Incorrect Procedure,1155.67,1.22,Final Inspection,Open
DEF000555,2023-03-21,EQ0012,Dump Truck,Electrical Fault,Minor,Machine,Calibration Drift,1279.25,2.49,In-Process,Closed
DEF000556,2022-05-04,EQ0029,Bulldozer,Electrical Fault,Minor,Method,Incorrect Procedure,1180.19,3.91,Final Inspection,Closed
DEF000557,2023-08-21,EQ0050,Loader,Hydraulic Leak,Major,Method,Incorrect Procedure,5554.63,10.61,Customer,Closed
DEF000558,2023-01-16,EQ0046,Excavator,Paint Finish,Minor,Machine,Calibration Drift,408.24,1.83,Customer,Closed
DEF000559,2022-03-29,EQ0014,Bulldozer,Electrical Fault,Minor,Machine,Calibration Drift,1839.82,2.15,In-Process,Open
DEF000560,2024-05-13,EQ0033,Grader,Calibration Error,Minor,Machine,Calibration Drift,937.75,1.7,In-Process,Closed
DEF000561,2022-06-18,EQ0019,Loader,Paint Finish,Major,Method,Incorrect Procedure,1480.82,9.05,In-Process,Open
DEF000562,2024-08-03,EQ0029,Bulldozer,Assembly Error,Minor,Environment,Humidity,1804.96,1.67,Final Inspection,In Progress
DEF000563,2022-03-29,EQ0030,Loader,Seal Failure,Minor,Measurement,Gauge Error,267.45,2.84,In-Process,Closed
DEF000564,2023-03-15,EQ0007,Crane,Weld Defect,Major,Measurement,Gauge Error,3937.89,6.22,Final Inspection,Closed
DEF000565,2023-06-15,EQ0020,Crane,Electrical Fault,Major,Measurement,Wrong Instrument,4702.08,7.79,In-Process,Open
DEF000566,2024-04-23,EQ0014,Bulldozer,Hydraulic Leak,Critical,Environment,Vibration,14905.94,16.32,Customer,Closed
DEF000567,2022-01-08,EQ0044,Loader,Hydraulic Leak,Major,Measurement,Calibration Issue,4756.07,10.58,Final Inspection,In Progress
DEF000568,2023-10-18,EQ0016,Dump Truck,Dimensional Variance,Minor,Material,Wrong Specification,1740.22,1.33,Customer,Closed
DEF000569,2022-10-06,EQ0041,Dump Truck,Surface Scratch,Major,Environment,Humidity,2861.17,3.97,Customer,Closed
DEF000570,2022-09-03,EQ0036,Bulldozer,Dimensional Variance,Minor,Environment,Temperature Variation,1710.46,3.37,In-Process,In Progress
DEF000571,2023-03-03,EQ0036,Bulldozer,Hydraulic Leak,Minor,Machine,Equipment Malfunction,1822.06,2.28,Final Inspection,Closed
DEF000572,2024-01-06,EQ0022,Excavator,Assembly Error,Major,Method,Process Not Followed,2638.25,6.05,In-Process,In Progress
DEF000573,2022-07-13,EQ0043,Excavator,Weld Defect,Critical,Material,Substandard Material,5249.13,37.22,Customer,Closed
DEF000574,2024-05-08,EQ0030,Loader,Assembly Error,Major,Material,Substandard Material,1894.01,3.33,In-Process,In Progress
DEF000575,2022-05-19,EQ0021,Excavator,Electrical Fault,Major,Measurement,Gauge Error,7089.24,10.94,Customer,Closed
DEF000576,2023-12-31,EQ0016,Dump Truck,Hydraulic Leak,Critical,Man,Operator Error,10370.62,16.94,Customer,Closed
DEF000577,2024-10-10,EQ0003,Excavator,Electrical Fault,Minor,Machine,Calibration Drift,689.8,2.48,Final Inspection,Open
DEF000578,2022-06-04,EQ0028,Crane,Weld Defect,Minor,Environment,Temperature Variation,1309.03,0.85,In-Process,In Progress
DEF000579,2024-08-11,EQ0035,Loader,Weld Defect,Minor,Method,Process Not Followed,1204.44,1.03,Customer,Closed
DEF000580,2023-02-24,EQ0043,Excavator,Weld Defect,Minor,Machine,Tool Wear,1985.34,3.45,Final Inspection,Open
DEF000581,2023-06-27,EQ0035,Loader,Surface Scratch,Minor,Man,Operator Error,1412.21,1.1,Customer,Closed
DEF000582,2022-04-16,EQ0017,Loader,Weld Defect,Minor,Method,Incorrect Procedure,1146.51,0.85,In-Process,Closed
DEF000583,2022-01-25,EQ0006,Dump Truck,Weld Defect,Minor,Machine,Tool Wear,1450.03,1.09,In-Process,Closed
DEF000584,2023-11-18,EQ0039,Bulldozer,Dimensional Variance,Major,Machine,Tool Wear,7252.84,6.14,Customer,In Progress
DEF000585,2023-02-07,EQ0045,Crane,Paint Finish,Minor,Method,Inadequate Work Instruction,256.12,1.69,Final Inspection,Open
DEF000586,2022-05-03,EQ0018,Grader,Weld Defect,Major,Man,Operator Error,3334.77,9.98,Final Inspection,Open
DEF000587,2024-08-03,EQ0001,Grader,Weld Defect,Minor,Machine,Tool Wear,262.29,2.08,In-Process,Open
DEF000588,2024-02-19,EQ0014,Bulldozer,Hydraulic Leak,Minor,Method,Process Not Followed,1050.71,0.76,In-Process,Open
DEF000589,2022-09-03,EQ0042,Bulldozer,Weld Defect,Minor,Material,Wrong Specification,769.18,3.73,Final Inspection,Open
DEF000590,2024-10-12,EQ0025,Excavator,Weld Defect,Major,Method,Incorrect Procedure,6654.2,11.64,Final Inspection,In Progress
DEF000591,2023-09-20,EQ0005,Loader,Weld Defect,Major,Material,Material Contamination,7848.6,10.25,In-Process,Open
DEF000592,2024-01-09,EQ0039,Bulldozer,Weld Defect,Minor,Machine,Equipment Malfunction,227.71,1.7,Final Inspection,Open
DEF000593,2022-10-18,EQ0004,Excavator,Assembly Error,Minor,Material,Material Contamination,1395.77,0.56,Customer,Closed
DEF000594,2024-08-29,EQ0007,Crane,Bolt Torque,Minor,Method,Inadequate Work Instruction,240.69,2.86,Customer,In Progress
DEF000595,2023-10-09,EQ0003,Excavator,Weld Defect,Minor,Method,Inadequate Work Instruction,1046.58,0.78,Final Inspection,Closed
DEF000596,2022-02-19,EQ0044,Loader,Seal Failure,Minor,Environment,Humidity,686.63,1.71,Customer,Closed
DEF000597,2023-12-20,EQ0024,Dump Truck,Weld Defect,Critical,Man,Insufficient Training,7115.37,26.4,Customer,Closed
DEF000598,2022-07-06,EQ0014,Bulldozer,Weld Defect,Minor,Environment,Humidity,1785.52,3.98,Customer,Closed
DEF000599,2024-04-27,EQ0013,Grader,Paint Finish,Minor,Measurement,Calibration Issue,1624.09,3.68,Final Inspection,Open
DEF000600,2023-03-15,EQ0005,Loader,Hydraulic Leak,Minor,Material,Material Contamination,1834.14,2.25,Final Inspection,In Progress
DEF000601,2022-02-18,EQ0038,Loader,Hydraulic Leak,Major,Man,Fatigue,6746.05,7.57,In-Process,Closed
DEF000602,2022-03-08,EQ0007,Crane,Hydraulic Leak,Minor,Material,Substandard Material,1221.06,0.8,In-Process,Closed
DEF000603,2024-12-19,EQ0020,Crane,Material Defect,Minor,Measurement,Calibration Issue,1896.3,1.21,Customer,Open
DEF000604,2023-02-09,EQ0022,Excavator,Dimensional Variance,Minor,Method,Process Not Followed,701.48,1.44,Final Inspection,Open
DEF000605,2024-10-29,EQ0006,Dump Truck,Weld Defect,Major,Material,Material Contamination,7758.25,6.1,In-Process,Open
DEF000606,2022-01-20,EQ0030,Loader,Weld Defect,Minor,Environment,Vibration,558.74,3.04,In-Process,Open
DEF000607,2024-01-06,EQ0049,Excavator,Alignment Issue,Critical,Man,Operator Error,9162.75,14.97,In-Process,Closed
DEF000608,2024-11-28,EQ0027,Dump Truck,Paint Finish,Minor,Method,Incorrect Procedure,1538.8,3.98,Customer,Open
DEF000609,2022-01-10,EQ0013,Grader,Weld Defect,Minor,Man,Operator Error,1582.61,2.49,Final Inspection,Open
DEF000610,2024-04-11,EQ0017,Loader,Dimensional Variance,Critical,Method,Inadequate Work Instruction,24098.9,35.21,Customer,Closed
DEF000611,2022-11-08,EQ0048,Bulldozer,Surface Scratch,Major,Environment,Vibration,4461.3,11.34,Customer,Closed
DEF000612,2024-07-30,EQ0001,Grader,Dimensional Variance,Minor,Environment,Humidity,898.77,2.4,Final Inspection,Closed
DEF000613,2022-06-18,EQ0007,Crane,Material Defect,Minor,Material,Material Contamination,1185.7,2.18,In-Process,Open
DEF000614,2022-04-14,EQ0006,Dump Truck,Weld Defect,Minor,Material,Wrong Specification,1714.08,2.56,In-Process,Open
DEF000615,2024-06-08,EQ0008,Excavator,Weld Defect,Major,Man,Operator Error,6845.23,11.53,Customer,Open
DEF000616,2023-10-14,EQ0025,Excavator,Weld Defect,Minor,Material,Wrong Specification,1362.37,2.93,In-Process,Closed
DEF000617,2023-09-25,EQ0002,Grader,Weld Defect,Critical,Environment,Temperature Variation,17718.44,33.76,In-Process,In Progress
DEF000618,2023-02-21,EQ0022,Excavator,Paint Finish,Major,Material,Material Contamination,3890.11,2.3,Customer,Closed
DEF000619,2023-05-28,EQ0001,Grader,Paint Finish,Minor,Method,Incorrect Procedure,692.01,1.92,Customer,Open
DEF000620,2022-07-15,EQ0032,Grader,Weld Defect,Major,Machine,Equipment Malfunction,7168.64,9.21,Customer,Open
DEF000621,2024-11-04,EQ0002,Grader,Weld Defect,Major,Material,Substandard Material,2557.45,6.47,In-Process,Closed
DEF000622,2022-10-16,EQ0035,Loader,Weld Defect,Minor,Environment,Humidity,1797.04,2.24,In-Process,Closed
DEF000623,2023-04-11,EQ0016,Dump Truck,Dimensional Variance,Minor,Machine,Tool Wear,1947.69,1.94,Final Inspection,Closed
DEF000624,2022-02-05,EQ0024,Dump Truck,Weld Defect,Major,Measurement,Gauge Error,5338.28,11.92,Customer,Closed
DEF000625,2023-11-11,EQ0028,Crane,Weld Defect,Major,Machine,Equipment Malfunction,3930.71,2.69,Final Inspection,In Progress
DEF000626,2022-02-06,EQ0033,Grader,Paint Finish,Minor,Man,Insufficient Training,915.65,3.59,Customer,Open
DEF000627,2023-03-25,EQ0010,Excavator,Weld Defect,Minor,Measurement,Gauge Error,242.36,0.8,Customer,Open
DEF000628,2024-07-27,EQ0032,Grader,Weld Defect,Major,Machine,Tool Wear,7152.85,11.07,Customer,Closed
DEF000629,2024-05-24,EQ0048,Bulldozer,Weld Defect,Major,Measurement,Calibration Issue,1205.56,11.04,Final Inspection,Open
DEF000630,2024-10-16,EQ0034,Bulldozer,Dimensional Variance,Minor,Environment,Humidity,785.18,3.85,Final Inspection,Closed
DEF000631,2022-04-05,EQ0002,Grader,Seal Failure,Major,Method,Process Not Followed,2243.93,3.44,In-Process,Closed
DEF000632,2023-09-07,EQ0009,Dump Truck,Paint Finish,Minor,Machine,Tool Wear,392.73,0.81,Final Inspection,Closed
DEF000633,2023-02-24,EQ0009,Dump Truck,Assembly Error,Minor,Material,Wrong Specification,1721.62,1.41,Final Inspection,Open
DEF000634,2024-10-02,EQ0021,Excavator,Calibration Error,Minor,Man,Fatigue,493.73,1.61,Customer,Open
DEF000635,2024-07-28,EQ0032,Grader,Electrical Fault,Major,Method,Process Not Followed,4171.44,2.04,Customer,Closed
DEF000636,2023-12-21,EQ0013,Grader,Material Defect,Minor,Material,Substandard Material,1914.87,3.5,Customer,Closed
DEF000637,2024-04-17,EQ0006,Dump Truck,Surface Scratch,Minor,Measurement,Wrong Instrument,1741.27,1.44,Final Inspection,Closed
DEF000638,2022-06-14,EQ0039,Bulldozer,Electrical Fault,Minor,Man,Insufficient Training,1350.4,1.77,In-Process,Closed
DEF000639,2023-09-14,EQ0047,Grader,Hydraulic Leak,Major,Machine,Calibration Drift,3109.36,3.46,Final Inspection,Open
DEF000640,2023-09-22,EQ0002,Grader,Weld Defect,Minor,Measurement,Gauge Error,1781.67,3.14,In-Process,Open
DEF000641,2022-06-27,EQ0043,Excavator,Paint Finish,Minor,Material,Substandard Material,1718.26,2.62,Final Inspection,In Progress
DEF000642,2022-12-19,EQ0003,Excavator,Weld Defect,Minor,Environment,Temperature Variation,1443.72,3.3,In-Process,Open
DEF000643,2024-10-06,EQ0015,Bulldozer,Dimensional Variance,Minor,Machine,Tool Wear,344.55,1.01,Customer,Closed
DEF000644,2023-04-24,EQ0020,Crane,Paint Finish,Minor,Measurement,Gauge Error,1256.17,1.51,Customer,Open
DEF000645,2024-12-17,EQ0042,Bulldozer,Hydraulic Leak,Minor,Method,Process Not Followed,955.6,0.58,Final Inspection,Open
DEF000646,2023-12-13,EQ0031,Loader,Surface Scratch,Minor,Machine,Calibration Drift,1987.33,1.14,Final Inspection,Open
DEF000647,2023-07-26,EQ0012,Dump Truck,Weld Defect,Minor,Environment,Humidity,644.84,0.6,In-Process,In Progress
DEF000648,2024-12-17,EQ0012,Dump Truck,Paint Finish,Minor,Environment,Vibration,631.49,1.0,Customer,Closed
DEF000649,2024-02-28,EQ0025,Excavator,Weld Defect,Major,Machine,Tool Wear,2142.09,12.0,Customer,Closed
DEF000650,2022-04-12,EQ0027,Dump Truck,Weld Defect,Minor,Material,Material Contamination,258.38,0.55,In-Process,Open
DEF000651,2022-08-08,EQ0049,Excavator,Dimensional Variance,Minor,Environment,Vibration,378.02,3.38,Final Inspection,Open
DEF000652,2022-08-03,EQ0049,Excavator,Bolt Torque,Minor,Material,Wrong Specification,1791.39,1.04,Customer,Closed
DEF000653,2022-04-15,EQ0045,Crane,Dimensional Variance,Major,Environment,Humidity,5072.84,4.85,Customer,In Progress
DEF000654,2024-01-17,EQ0007,Crane,Alignment Issue,Minor,Material,Substandard Material,338.67,3.85,Final Inspection,Closed
DEF000655,2022-12-06,EQ0010,Excavator,Electrical Fault,Critical,Environment,Humidity,23452.48,25.86,Customer,Closed
DEF000656,2022-01-08,EQ0032,Grader,Hydraulic Leak,Minor,Machine,Calibration Drift,1277.74,0.7,In-Process,Closed
DEF000657,2022-08-05,EQ0011,Bulldozer,Paint Finish,Minor,Method,Incorrect Procedure,1121.57,3.23,In-Process,Open
DEF000658,2024-02-26,EQ0034,Bulldozer,Paint Finish,Minor,Material,Substandard Material,417.11,1.19,In-Process,Closed
DEF000659,2024-05-08,EQ0038,Loader,Hydraulic Leak,Critical,Material,Wrong Specification,23058.77,13.83,In-Process,Closed
DEF000660,2024-01-21,EQ0023,Loader,Dimensional Variance,Minor,Machine,Equipment Malfunction,1946.51,0.61,Final Inspection,Closed
DEF000661,2023-08-24,EQ0014,Bulldozer,Weld Defect,Minor,Machine,Tool Wear,583.92,1.88,In-Process,Closed
DEF000662,2022-03-19,EQ0004,Excavator,Dimensional Variance,Minor,Material,Material Contamination,1404.0,1.84,Final Inspection,Closed
DEF000663,2024-08-24,EQ0037,Dump Truck,Weld Defect,Minor,Method,Inadequate Work Instruction,1428.03,1.75,Customer,Open
DEF000664,2023-05-19,EQ0022,Excavator,Hydraulic Leak,Minor,Machine,Tool Wear,1876.73,2.94,Final Inspection,Open
DEF000665,2022-08-25,EQ0018,Grader,Surface Scratch,Minor,Man,Insufficient Training,1682.21,1.86,In-Process,Open
DEF000666,2023-02-09,EQ0017,Loader,Paint Finish,Minor,Material,Substandard Material,1918.98,2.77,Final Inspection,Open
DEF000667,2022-08-19,EQ0023,Loader,Electrical Fault,Minor,Material,Wrong Specification,1240.2,1.51,In-Process,Open
DEF000668,2022-02-18,EQ0045,Crane,Weld Defect,Minor,Man,Operator Error,1529.46,2.6,Final Inspection,Open
DEF000669,2022-04-06,EQ0033,Grader,Weld Defect,Minor,Material,Wrong Specification,328.28,2.17,Customer,Closed
DEF000670,2023-08-19,EQ0023,Loader,Paint Finish,Minor,Measurement,Wrong Instrument,615.96,3.54,In-Process,In Progress
DEF000671,2022-07-05,EQ0040,Crane,Weld Defect,Minor,Material,Material Contamination,1676.33,3.58,Final Inspection,In Progress
DEF000672,2022-11-15,EQ0029,Bulldozer,Hydraulic Leak,Minor,Man,Insufficient Training,1253.37,1.99,Final Inspection,Open
DEF000673,2023-11-22,EQ0016,Dump Truck,Paint Finish,Minor,Man,Insufficient Training,1755.61,0.98,Final Inspection,In Progress
DEF000674,2022-07-21,EQ0019,Loader,Weld Defect,Minor,Man,Insufficient Training,1577.14,2.24,Final Inspection,In Progress
DEF000675,2022-11-13,EQ0008,Excavator,Paint Finish,Minor,Measurement,Wrong Instrument,282.11,2.85,In-Process,Open
DEF000676,2024-02-25,EQ0040,Crane,Weld Defect,Major,Material,Material Contamination,3049.03,9.58,Final Inspection,Closed
DEF000677,2024-08-17,EQ0026,Grader,Weld Defect,Minor,Machine,Tool Wear,994.78,0.6,Customer,Closed
DEF000678,2022-09-08,EQ0018,Grader,Paint Finish,Minor,Environment,Temperature Variation,1558.46,2.18,Final Inspection,Closed
DEF000679,2022-05-06,EQ0009,Dump Truck,Weld Defect,Minor,Man,Operator Error,752.41,1.3,Final Inspection,In Progress
DEF000680,2022-05-30,EQ0033,Grader,Surface Scratch,Minor,Machine,Calibration Drift,783.77,2.11,In-Process,Open
DEF000681,2022-12-20,EQ0022,Excavator,Paint Finish,Minor,Machine,Calibration Drift,909.97,2.35,In-Process,Closed
DEF000682,2024-11-23,EQ0033,Grader,Surface Scratch,Minor,Machine,Tool Wear,1007.65,2.0,Final Inspection,Closed
DEF000683,2024-02-12,EQ0030,Loader,Electrical Fault,Critical,Environment,Temperature Variation,23911.91,35.51,Final Inspection,Open
DEF000684,2024-04-01,EQ0021,Excavator,Hydraulic Leak,Minor,Measurement,Wrong Instrument,844.64,0.94,Customer,Closed
DEF000685,2024-08-31,EQ0016,Dump Truck,Electrical Fault,Major,Material,Wrong Specification,5702.75,2.3,Customer,Closed
DEF000686,2023-04-24,EQ0024,Dump Truck,Weld Defect,Minor,Material,Substandard Material,1604.31,3.22,Final Inspection,Open
DEF000687,2024-12-10,EQ0011,Bulldozer,Material Defect,Minor,Method,Inadequate Work Instruction,460.62,1.2,In-Process,In Progress
DEF000688,2024-07-09,EQ0023,Loader,Paint Finish,Major,Environment,Vibration,1061.84,3.92,Final Inspection,Closed
DEF000689,2024-07-11,EQ0026,Grader,Weld Defect,Minor,Environment,Humidity,1271.68,2.12,Final Inspection,In Progress
DEF000690,2022-11-22,EQ0031,Loader,Paint Finish,Major,Measurement,Wrong Instrument,5931.25,2.28,In-Process,Open
DEF000691,2024-09-03,EQ0036,Bulldozer,Weld Defect,Minor,Machine,Tool Wear,1707.13,2.09,In-Process,Closed
DEF000692,2022-12-27,EQ0011,Bulldozer,Weld Defect,Minor,Man,Insufficient Training,1067.86,0.87,Final Inspection,Closed
DEF000693,2024-09-30,EQ0049,Excavator,Paint Finish,Major,Man,Insufficient Training,4442.74,6.23,In-Process,Closed
DEF000694,2024-02-01,EQ0015,Bulldozer,Weld Defect,Major,Machine,Tool Wear,4867.41,7.77,Final Inspection,Open
DEF000695,2022-08-01,EQ0031,Loader,Surface Scratch,Minor,Machine,Tool Wear,214.15,2.55,In-Process,Open
DEF000696,2024-04-26,EQ0050,Loader,Calibration Error,Minor,Material,Substandard Material,1630.48,0.55,Customer,Closed
DEF000697,2023-07-05,EQ0007,Crane,Hydraulic Leak,Critical,Man,Insufficient Training,13446.06,8.81,Final Inspection,Open
DEF000698,2023-03-19,EQ0010,Excavator,Surface Scratch,Major,Man,Insufficient Training,7466.96,6.46,Customer,Open
DEF000699,2022-03-09,EQ0014,Bulldozer,Paint Finish,Major,Machine,Calibration Drift,2293.25,10.35,Final Inspection,Closed
DEF000700,2023-04-04,EQ0009,Dump Truck,Surface Scratch,Minor,Method,Process Not Followed,993.03,2.47,In-Process,Closed
DEF000701,2022-01-11,EQ0009,Dump Truck,Hydraulic Leak,Minor,Material,Material Contamination,258.52,1.89,In-Process,Open
DEF000702,2023-12-18,EQ0012,Dump Truck,Electrical Fault,Minor,Environment,Vibration,1975.95,1.64,In-Process,Closed
DEF000703,2023-04-06,EQ0012,Dump Truck,Weld Defect,Minor,Measurement,Gauge Error,1984.35,2.23,In-Process,Closed
DEF000704,2022-08-30,EQ0004,Excavator,Surface Scratch,Major,Measurement,Wrong Instrument,5565.52,4.98,In-Process,Open
DEF000705,2024-05-31,EQ0039,Bulldozer,Electrical Fault,Major,Method,Incorrect Procedure,5521.17,10.24,Customer,Closed
DEF000706,2023-09-15,EQ0003,Excavator,Paint Finish,Major,Environment,Vibration,4424.76,8.23,Final Inspection,Open
DEF000707,2024-07-16,EQ0024,Dump Truck,Dimensional Variance,Minor,Man,Insufficient Training,1183.04,1.55,Customer,Closed
DEF000708,2024-01-15,EQ0047,Grader,Dimensional Variance,Minor,Man,Fatigue,239.06,0.66,Customer,Open
DEF000709,2022-12-18,EQ0037,Dump Truck,Hydraulic Leak,Major,Material,Substandard Material,6401.53,11.04,Customer,Open
DEF000710,2023-07-27,EQ0017,Loader,Paint Finish,Minor,Machine,Calibration Drift,262.27,1.29,In-Process,Open
DEF000711,2023-02-27,EQ0001,Grader,Weld Defect,Minor,Machine,Calibration Drift,640.42,0.74,Customer,In Progress
DEF000712,2023-12-06,EQ0034,Bulldozer,Surface Scratch,Major,Material,Material Contamination,5327.34,9.29,Final Inspection,Closed
DEF000713,2022-03-10,EQ0040,Crane,Weld Defect,Minor,Measurement,Wrong Instrument,1107.73,2.44,Customer,Open
DEF000714,2023-02-01,EQ0047,Grader,Dimensional Variance,Major,Machine,Calibration Drift,7126.03,4.95,In-Process,Closed
DEF000715,2024-05-23,EQ0043,Excavator,Weld Defect,Minor,Environment,Vibration,247.97,2.48,Customer,Open
DEF000716,2022-09-08,EQ0008,Excavator,Weld Defect,Minor,Machine,Equipment Malfunction,685.04,1.45,In-Process,Closed
DEF000717,2023-11-14,EQ0038,Loader,Dimensional Variance,Minor,Measurement,Gauge Error,1833.81,2.64,In-Process,Open
DEF000718,2022-10-20,EQ0037,Dump Truck,Weld Defect,Minor,Material,Wrong Specification,556.56,2.18,Final Inspection,In Progress
