inspection_id,inspection_date,equipment_id,equipment_name,equipment_type,metric_name,target_value,tolerance,xbar_value,r_value,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,in_control
SPC001078,2023-12-07,EQ0008,Excavator 8,Excavator,Weld Strength (MPa),450,30.0,447.37,26.59,463.17,440.44,448.02,436.58,448.62,True
SPC001079,2023-06-14,EQ0049,Excavator 49,Excavator,Hydraulic Pressure (PSI),3000,150.0,2976.02,115.8,2914.24,2981.77,2939.33,3030.05,3014.73,True
SPC001080,2024-03-02,EQ0019,Loader 19,Loader,Hydraulic Pressure (PSI),3000,150.0,3037.51,62.49,3045.04,3050.42,3005.05,3067.55,3019.48,True
SPC001081,2023-03-15,EQ0023,Loader 23,Loader,Weld Strength (MPa),450,30.0,449.1,25.14,459.89,434.75,443.53,450.03,457.28,True
SPC001082,2023-02-28,EQ0019,Loader 19,Loader,Paint Thickness (microns),120,10.0,120.96,9.17,123.7,118.41,122.81,115.34,124.51,True
SPC001083,2024-11-17,EQ0037,Dump Truck 37,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,3033.82,102.5,2993.4,3056.27,3028.08,3095.91,2995.43,True
SPC001084,2022-01-19,EQ0012,Dump Truck 12,Dump Truck,Bolt Torque (Nm),200,15.0,198.77,12.54,192.59,199.38,199.38,197.35,205.13,True
SPC001085,2022-12-21,EQ0020,Crane 20,Crane,Alignment Deviation (mm),0,0.5,0.07,0.41,-0.17,-0.03,0.12,0.17,0.24,True
SPC001086,2023-04-04,EQ0040,Crane 40,Crane,Paint Thickness (microns),120,10.0,118.63,14.3,121.54,123.73,120.12,109.43,118.33,True
SPC001087,2023-09-18,EQ0021,Excavator 21,Excavator,Paint Thickness (microns),120,10.0,118.87,7.65,114.81,122.46,118.7,117.06,121.32,True
SPC001088,2024-02-11,EQ0006,Dump Truck 6,Dump Truck,Paint Thickness (microns),120,10.0,122.07,7.84,125.2,121.71,117.36,121.52,124.55,True
SPC001089,2023-03-23,EQ0015,Bulldozer 15,Bulldozer,Bolt Torque (Nm),200,15.0,202.04,17.94,201.71,194.14,197.51,212.08,204.74,True
SPC001090,2024-12-02,EQ0044,Loader 44,Loader,Alignment Deviation (mm),0,0.5,0.03,0.39,-0.04,-0.11,0.28,0.02,0.03,True
SPC001091,2022-07-29,EQ0030,Loader 30,Loader,Hydraulic Pressure (PSI),3000,150.0,3023.27,91.92,3032.57,3079.4,3005.08,3011.81,2987.48,True
SPC001092,2024-02-06,EQ0008,Excavator 8,Excavator,Alignment Deviation (mm),0,0.5,-0.04,0.34,-0.03,-0.01,0.09,0.02,-0.26,True
SPC001093,2023-08-02,EQ0009,Dump Truck 9,Dump Truck,Paint Thickness (microns),120,10.0,120.04,8.27,122.4,123.08,119.64,114.81,120.29,True
SPC001094,2024-09-13,EQ0017,Loader 17,Loader,Hydraulic Pressure (PSI),3000,150.0,3011.86,122.96,2978.99,2973.55,3080.94,2957.98,3067.85,True
SPC001095,2023-07-21,EQ0023,Loader 23,Loader,Paint Thickness (microns),120,10.0,121.52,9.06,117.48,120.72,126.54,121.59,121.28,True
SPC001096,2023-06-19,EQ0028,Crane 28,Crane,Paint Thickness (microns),120,10.0,121.42,4.97,119.11,124.08,120.57,121.77,121.55,True
SPC001097,2024-11-25,EQ0026,Grader 26,Grader,Weld Strength (MPa),450,30.0,452.53,16.42,460.43,444.01,449.31,458.46,450.44,True
SPC001098,2024-04-07,EQ0032,Grader 32,Grader,Paint Thickness (microns),120,10.0,121.48,12.62,121.77,116.34,126.73,114.96,127.58,True
SPC001099,2022-02-22,EQ0047,Grader 47,Grader,Bolt Torque (Nm),200,15.0,183.57,10.11,189.45,182.14,181.81,179.34,185.11,False
SPC001100,2022-03-14,EQ0019,Loader 19,Loader,Alignment Deviation (mm),0,0.5,-0.09,0.31,0.05,-0.09,-0.11,-0.02,-0.26,True
SPC001101,2023-01-24,EQ0014,Bulldozer 14,Bulldozer,Paint Thickness (microns),120,10.0,119.35,5.87,122.29,119.16,116.42,118.95,119.93,True
SPC001102,2023-04-01,EQ0032,Grader 32,Grader,Alignment Deviation (mm),0,0.5,0.04,0.74,0.06,0.07,-0.24,0.5,-0.18,True
SPC001103,2024-09-01,EQ0025,Excavator 25,Excavator,Paint Thickness (microns),120,10.0,120.42,9.29,122.81,115.06,120.86,119.03,124.35,True
SPC001104,2022-12-15,EQ0034,Bulldozer 34,Bulldozer,Alignment Deviation (mm),0,0.5,0.07,0.23,0.02,0.02,0.25,0.02,0.04,True
SPC001105,2022-07-19,EQ0035,Loader 35,Loader,Bolt Torque (Nm),200,15.0,200.21,9.05,199.9,197.47,197.39,206.44,199.87,True
SPC001106,2023-06-14,EQ0030,Loader 30,Loader,Alignment Deviation (mm),0,0.5,-0.02,0.53,0.2,0.15,-0.25,-0.33,0.14,True
SPC001107,2023-01-10,EQ0036,Bulldozer 36,Bulldozer,Paint Thickness (microns),120,10.0,119.91,13.34,118.3,112.84,119.4,122.81,126.19,True
SPC001108,2023-04-01,EQ0041,Dump Truck 41,Dump Truck,Paint Thickness (microns),120,10.0,118.3,10.96,117.66,124.08,117.71,118.94,113.12,True
SPC001109,2023-09-21,EQ0026,Grader 26,Grader,Bolt Torque (Nm),200,15.0,200.49,5.19,196.97,200.89,202.16,202.05,200.37,True
SPC001110,2023-11-10,EQ0025,Excavator 25,Excavator,Paint Thickness (microns),120,10.0,121.42,10.49,123.41,125.74,115.25,123.03,119.67,True
SPC001111,2023-08-26,EQ0033,Grader 33,Grader,Bolt Torque (Nm),200,15.0,198.43,4.44,198.91,200.05,195.6,199.23,198.35,True
SPC001112,2024-08-21,EQ0003,Excavator 3,Excavator,Hydraulic Pressure (PSI),3000,150.0,2991.92,182.31,2974.17,2898.59,3080.9,2957.55,3048.41,True
SPC001113,2022-05-26,EQ0040,Crane 40,Crane,Bolt Torque (Nm),200,15.0,203.9,18.09,208.52,212.0,203.25,201.83,193.91,True
SPC001114,2024-10-21,EQ0001,Grader 1,Grader,Hydraulic Pressure (PSI),3000,150.0,3032.26,108.75,3095.47,2986.72,3001.07,3049.9,3028.16,True
SPC001115,2024-02-21,EQ0036,Bulldozer 36,Bulldozer,Alignment Deviation (mm),0,0.5,0.06,0.57,-0.03,-0.02,0.08,0.41,-0.16,True
SPC001116,2022-04-21,EQ0018,Grader 18,Grader,Weld Strength (MPa),450,30.0,452.48,25.68,450.42,439.68,460.32,465.36,446.62,True
SPC001117,2023-02-15,EQ0010,Excavator 10,Excavator,Paint Thickness (microns),120,10.0,121.81,10.53,129.41,121.49,119.79,118.88,119.49,True
SPC001118,2024-07-26,EQ0020,Crane 20,Crane,Weld Strength (MPa),450,30.0,450.58,21.94,464.95,455.87,443.28,445.78,443.02,True
SPC001119,2023-01-05,EQ0011,Bulldozer 11,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3013.68,72.89,2981.08,3053.97,2992.28,3004.99,3036.07,True
SPC001120,2022-12-29,EQ0035,Loader 35,Loader,Paint Thickness (microns),120,10.0,122.99,6.73,119.83,126.55,124.54,122.46,121.56,True
SPC001121,2022-01-10,EQ0049,Excavator 49,Excavator,Bolt Torque (Nm),200,15.0,199.52,12.34,206.75,197.63,200.61,194.41,198.2,True
SPC001122,2022-12-12,EQ0015,Bulldozer 15,Bulldozer,Alignment Deviation (mm),0,0.5,-0.01,0.42,0.17,0.15,-0.08,-0.01,-0.25,True
SPC001123,2024-09-29,EQ0022,Excavator 22,Excavator,Hydraulic Pressure (PSI),3000,150.0,3006.69,110.48,3063.41,2986.42,3039.87,2952.92,2990.85,True
SPC001124,2024-06-07,EQ0015,Bulldozer 15,Bulldozer,Bolt Torque (Nm),200,15.0,200.17,14.67,203.26,198.32,208.29,193.62,197.34,True
SPC001125,2024-09-04,EQ0019,Loader 19,Loader,Bolt Torque (Nm),200,15.0,197.67,11.64,196.33,191.17,202.81,201.85,196.21,True
SPC001126,2024-12-29,EQ0035,Loader 35,Loader,Weld Strength (MPa),450,30.0,452.81,33.65,446.5,438.89,451.97,472.54,454.14,True
SPC001127,2022-01-29,EQ0024,Dump Truck 24,Dump Truck,Paint Thickness (microns),120,10.0,119.61,4.62,116.84,120.93,121.46,117.76,121.06,True
SPC001128,2024-12-23,EQ0018,Grader 18,Grader,Weld Strength (MPa),450,30.0,442.95,19.46,435.49,432.67,444.84,449.63,452.13,True
SPC001129,2022-01-09,EQ0019,Loader 19,Loader,Weld Strength (MPa),450,30.0,452.81,47.5,473.47,460.13,425.98,463.64,440.81,True
SPC001130,2023-12-07,EQ0016,Dump Truck 16,Dump Truck,Paint Thickness (microns),120,10.0,119.8,9.59,122.19,118.62,124.14,114.55,119.5,True
SPC001131,2024-02-25,EQ0005,Loader 5,Loader,Alignment Deviation (mm),0,0.5,-0.09,0.28,-0.17,0.1,-0.1,-0.13,-0.17,True
SPC001132,2022-12-09,EQ0021,Excavator 21,Excavator,Hydraulic Pressure (PSI),3000,150.0,2962.19,52.74,2959.21,2956.13,2986.47,2975.43,2933.73,True
SPC001133,2023-09-03,EQ0036,Bulldozer 36,Bulldozer,Paint Thickness (microns),120,10.0,123.41,10.99,126.98,123.79,119.49,128.89,117.9,True
SPC001134,2024-12-01,EQ0017,Loader 17,Loader,Alignment Deviation (mm),0,0.5,-0.03,0.77,-0.07,-0.06,-0.06,0.41,-0.36,True
SPC001135,2024-06-07,EQ0046,Excavator 46,Excavator,Weld Strength (MPa),450,30.0,439.09,36.19,465.05,428.86,434.13,429.74,437.65,True
SPC001136,2024-09-30,EQ0038,Loader 38,Loader,Paint Thickness (microns),120,10.0,123.05,2.77,121.95,122.84,123.5,122.24,124.72,True
SPC001137,2022-12-04,EQ0044,Loader 44,Loader,Bolt Torque (Nm),200,15.0,204.17,12.36,209.66,206.04,208.44,197.3,199.39,True
SPC001138,2023-04-05,EQ0006,Dump Truck 6,Dump Truck,Weld Strength (MPa),450,30.0,450.81,40.2,435.58,431.18,456.32,471.38,459.59,True
SPC001139,2022-02-14,EQ0013,Grader 13,Grader,Alignment Deviation (mm),0,0.5,-0.13,0.29,-0.18,-0.17,-0.17,0.09,-0.2,True
SPC001140,2022-09-10,EQ0036,Bulldozer 36,Bulldozer,Paint Thickness (microns),120,10.0,119.62,10.13,114.9,125.04,116.07,122.26,119.84,True
SPC001141,2022-03-18,EQ0011,Bulldozer 11,Bulldozer,Bolt Torque (Nm),200,15.0,203.64,11.85,199.85,199.16,199.64,211.01,208.54,True
SPC001142,2023-06-08,EQ0002,Grader 2,Grader,Alignment Deviation (mm),0,0.5,0.12,0.16,0.03,0.14,0.09,0.19,0.13,True
SPC001143,2022-04-09,EQ0034,Bulldozer 34,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3038.08,107.03,3061.2,2983.15,3027.27,3090.18,3028.6,True
SPC001144,2022-02-10,EQ0046,Excavator 46,Excavator,Hydraulic Pressure (PSI),3000,150.0,3036.36,67.82,3058.21,3025.35,3056.41,3051.44,2990.39,True
SPC001145,2024-05-03,EQ0035,Loader 35,Loader,Bolt Torque (Nm),200,15.0,199.09,6.24,197.6,197.05,202.42,196.18,202.2,True
SPC001146,2023-06-02,EQ0005,Loader 5,Loader,Bolt Torque (Nm),200,15.0,202.32,13.89,195.72,205.71,204.87,195.71,209.6,True
SPC001147,2023-02-25,EQ0012,Dump Truck 12,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,2995.41,77.95,3022.42,2945.3,2999.19,2986.89,3023.26,True
SPC001148,2022-07-26,EQ0050,Loader 50,Loader,Alignment Deviation (mm),0,0.5,0.02,0.46,0.01,0.17,-0.24,0.22,-0.06,True
SPC001149,2022-10-08,EQ0007,Crane 7,Crane,Bolt Torque (Nm),200,15.0,198.91,12.68,202.46,206.21,195.22,193.53,197.13,True
SPC001150,2022-08-03,EQ0004,Excavator 4,Excavator,Alignment Deviation (mm),0,0.5,0.03,0.49,-0.12,-0.0,-0.01,0.37,-0.06,True
SPC001151,2022-08-30,EQ0006,Dump Truck 6,Dump Truck,Paint Thickness (microns),120,10.0,121.88,6.72,121.32,125.02,125.39,118.67,119.0,True
SPC001152,2022-08-06,EQ0015,Bulldozer 15,Bulldozer,Bolt Torque (Nm),200,15.0,202.2,20.47,203.47,192.73,211.97,211.34,191.49,True
SPC001153,2023-02-14,EQ0016,Dump Truck 16,Dump Truck,Paint Thickness (microns),120,10.0,120.92,4.43,122.46,122.92,122.22,118.49,118.5,True
SPC001154,2023-02-18,EQ0036,Bulldozer 36,Bulldozer,Paint Thickness (microns),120,10.0,123.03,9.24,122.04,125.65,119.27,119.69,128.51,True
SPC001155,2023-08-28,EQ0050,Loader 50,Loader,Weld Strength (MPa),450,30.0,448.13,26.32,451.49,444.96,438.09,441.71,464.42,True
SPC001156,2024-10-13,EQ0002,Grader 2,Grader,Weld Strength (MPa),450,30.0,451.83,18.03,451.13,443.35,453.1,450.18,461.38,True
SPC001157,2024-09-11,EQ0003,Excavator 3,Excavator,Paint Thickness (microns),120,10.0,118.21,4.97,120.96,120.1,115.99,116.48,117.51,True
SPC001158,2022-01-27,EQ0010,Excavator 10,Excavator,Hydraulic Pressure (PSI),3000,150.0,2966.56,94.43,2990.19,2953.42,3003.75,2909.32,2976.14,True
SPC001159,2024-10-08,EQ0038,Loader 38,Loader,Weld Strength (MPa),450,30.0,448.54,24.55,450.13,461.99,437.43,449.32,443.83,False
SPC001160,2022-07-27,EQ0048,Bulldozer 48,Bulldozer,Paint Thickness (microns),120,10.0,119.36,7.31,118.83,123.41,119.99,118.47,116.11,True
SPC001161,2024-07-24,EQ0010,Excavator 10,Excavator,Paint Thickness (microns),120,10.0,120.14,10.21,115.36,116.39,121.52,121.86,125.57,True
SPC001162,2022-04-13,EQ0010,Excavator 10,Excavator,Hydraulic Pressure (PSI),3000,150.0,3007.01,102.44,2949.28,2990.38,3044.99,2998.66,3051.72,True
SPC001163,2022-03-22,EQ0020,Crane 20,Crane,Paint Thickness (microns),120,10.0,117.24,10.11,117.71,116.84,120.26,120.76,110.66,True
SPC001164,2023-10-03,EQ0044,Loader 44,Loader,Bolt Torque (Nm),200,15.0,203.3,13.52,197.42,202.15,210.94,197.61,208.35,True
SPC001165,2022-07-14,EQ0002,Grader 2,Grader,Hydraulic Pressure (PSI),3000,150.0,3009.27,124.66,2986.77,2929.81,3054.47,3034.77,3040.53,True
SPC001166,2022-10-11,EQ0005,Loader 5,Loader,Weld Strength (MPa),450,30.0,455.96,9.64,455.95,450.48,460.11,454.96,458.29,True
SPC001167,2024-06-15,EQ0039,Bulldozer 39,Bulldozer,Alignment Deviation (mm),0,0.5,-0.05,0.33,0.14,-0.14,-0.11,0.08,-0.2,True
SPC001168,2022-07-10,EQ0039,Bulldozer 39,Bulldozer,Paint Thickness (microns),120,10.0,119.66,6.7,117.91,120.67,120.81,116.11,122.81,True
SPC001169,2023-01-10,EQ0004,Excavator 4,Excavator,Hydraulic Pressure (PSI),3000,150.0,2968.92,67.6,2975.59,2930.76,2945.6,2998.36,2994.3,True
SPC001170,2024-07-23,EQ0048,Bulldozer 48,Bulldozer,Paint Thickness (microns),120,10.0,122.39,4.96,125.42,120.56,123.72,121.77,120.46,True
SPC001171,2024-09-06,EQ0047,Grader 47,Grader,Bolt Torque (Nm),200,15.0,196.8,13.22,198.68,188.65,201.87,199.49,195.3,True
SPC001172,2022-12-08,EQ0039,Bulldozer 39,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,2980.74,74.43,2988.08,2950.46,3024.9,2986.62,2953.63,True
SPC001173,2022-05-01,EQ0017,Loader 17,Loader,Weld Strength (MPa),450,30.0,452.61,24.25,461.67,437.42,448.98,457.21,457.76,True
SPC001174,2024-09-15,EQ0005,Loader 5,Loader,Alignment Deviation (mm),0,0.5,-0.08,0.48,-0.05,-0.32,-0.15,-0.06,0.16,True
SPC001175,2023-01-07,EQ0003,Excavator 3,Excavator,Alignment Deviation (mm),0,0.5,0.02,0.39,-0.19,0.01,0.21,-0.05,0.1,True
SPC001176,2024-01-05,EQ0033,Grader 33,Grader,Alignment Deviation (mm),0,0.5,-0.11,0.37,-0.28,-0.14,-0.12,0.09,-0.13,True
SPC001177,2022-09-25,EQ0025,Excavator 25,Excavator,Bolt Torque (Nm),200,15.0,181.78,9.98,181.2,180.65,177.99,187.97,181.11,False
SPC001178,2022-05-10,EQ0008,Excavator 8,Excavator,Paint Thickness (microns),120,10.0,123.25,11.14,116.72,127.87,125.21,124.13,122.34,True
SPC001179,2022-01-26,EQ0025,Excavator 25,Excavator,Alignment Deviation (mm),0,0.5,-0.15,0.44,-0.03,-0.1,-0.15,-0.45,-0.02,True
SPC001180,2023-04-04,EQ0039,Bulldozer 39,Bulldozer,Paint Thickness (microns),120,10.0,119.6,8.37,116.19,124.56,117.24,119.86,120.17,True
SPC001181,2022-07-15,EQ0034,Bulldozer 34,Bulldozer,Bolt Torque (Nm),200,15.0,194.68,1.45,195.38,194.83,194.64,193.93,194.62,True
SPC001182,2023-05-25,EQ0015,Bulldozer 15,Bulldozer,Bolt Torque (Nm),200,15.0,201.4,6.27,204.62,201.84,198.35,198.38,203.78,True
SPC001183,2024-02-28,EQ0021,Excavator 21,Excavator,Weld Strength (MPa),450,30.0,449.05,30.49,437.92,467.95,453.23,437.46,448.71,True
SPC001184,2022-04-22,EQ0029,Bulldozer 29,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3007.52,114.84,2988.21,3066.94,3032.76,2997.6,2952.1,True
SPC001185,2022-11-18,EQ0035,Loader 35,Loader,Alignment Deviation (mm),0,0.5,0.08,0.37,0.09,0.26,0.13,-0.11,0.05,True
SPC001186,2024-10-12,EQ0022,Excavator 22,Excavator,Weld Strength (MPa),450,30.0,454.05,23.6,461.06,456.2,463.26,439.66,450.05,True
SPC001187,2024-10-03,EQ0031,Loader 31,Loader,Paint Thickness (microns),120,10.0,120.33,4.89,118.71,118.92,123.5,121.9,118.61,True
SPC001188,2023-07-24,EQ0041,Dump Truck 41,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,2972.38,50.3,2959.12,2992.54,2982.95,2942.24,2985.04,True
SPC001189,2024-02-15,EQ0026,Grader 26,Grader,Bolt Torque (Nm),200,15.0,197.13,5.82,198.13,200.04,195.14,194.22,198.11,True
SPC001190,2022-06-11,EQ0044,Loader 44,Loader,Bolt Torque (Nm),200,15.0,200.55,14.08,197.55,198.63,209.72,201.24,195.64,True
SPC001191,2024-07-06,EQ0046,Excavator 46,Excavator,Hydraulic Pressure (PSI),3000,150.0,3026.09,93.51,2967.7,3052.65,3014.55,3034.35,3061.22,True
SPC001192,2024-07-04,EQ0012,Dump Truck 12,Dump Truck,Paint Thickness (microns),120,10.0,118.83,10.05,118.09,113.33,123.38,118.25,121.09,True
SPC001193,2024-10-15,EQ0038,Loader 38,Loader,Hydraulic Pressure (PSI),3000,150.0,3018.19,113.46,2946.24,3059.7,3045.82,3022.51,3016.68,True
SPC001194,2024-04-24,EQ0029,Bulldozer 29,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3006.68,109.2,3015.03,3058.55,3034.04,2949.35,2976.42,True
SPC001195,2022-01-01,EQ0024,Dump Truck 24,Dump Truck,Hydraulic Pressure (PSI),3000,150.0,3004.97,89.35,2990.86,3044.36,2955.01,3006.13,3028.5,True
SPC001196,2023-09-16,EQ0015,Bulldozer 15,Bulldozer,Alignment Deviation (mm),0,0.5,-0.11,0.63,-0.06,-0.05,0.13,-0.5,-0.04,True
SPC001197,2024-07-23,EQ0032,Grader 32,Grader,Paint Thickness (microns),120,10.0,120.39,6.37,122.58,119.7,116.58,120.16,122.95,True
SPC001198,2022-04-22,EQ0026,Grader 26,Grader,Weld Strength (MPa),450,30.0,458.12,14.83,455.84,463.58,455.3,450.52,465.34,True
SPC001199,2023-11-11,EQ0009,Dump Truck 9,Dump Truck,Alignment Deviation (mm),0,0.5,0.02,0.47,-0.04,0.2,0.0,0.19,-0.28,True
SPC001200,2024-08-26,EQ0050,Loader 50,Loader,Paint Thickness (microns),120,10.0,120.64,13.57,118.12,122.1,119.29,115.07,128.64,True
SPC001201,2022-08-22,EQ0020,Crane 20,Crane,Hydraulic Pressure (PSI),3000,150.0,2996.43,163.19,3069.95,2987.37,2906.76,2999.31,3018.74,True
SPC001202,2023-03-31,EQ0007,Crane 7,Crane,Hydraulic Pressure (PSI),3000,150.0,3018.77,75.14,3002.5,3001.89,3045.17,3059.72,2984.58,True
SPC001203,2023-08-21,EQ0011,Bulldozer 11,Bulldozer,Alignment Deviation (mm),0,0.5,-0.1,0.59,-0.36,0.04,-0.26,-0.14,0.23,True
SPC001204,2022-08-06,EQ0039,Bulldozer 39,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3004.09,140.16,2977.13,2938.02,3078.18,3007.4,3019.69,True
SPC001205,2024-10-05,EQ0007,Crane 7,Crane,Weld Strength (MPa),450,30.0,449.88,27.3,439.2,442.1,466.5,447.4,454.21,True
SPC001206,2024-04-18,EQ0019,Loader 19,Loader,Hydraulic Pressure (PSI),3000,150.0,3001.08,91.03,2974.38,3054.33,2972.57,2963.3,3040.82,True
SPC001207,2023-02-06,EQ0027,Dump Truck 27,Dump Truck,Weld Strength (MPa),450,30.0,455.62,30.79,446.58,469.0,459.32,464.99,438.21,True
SPC001208,2024-03-15,EQ0039,Bulldozer 39,Bulldozer,Weld Strength (MPa),450,30.0,450.95,22.47,466.7,445.49,451.33,446.97,444.23,True
SPC001209,2023-01-26,EQ0038,Loader 38,Loader,Paint Thickness (microns),120,10.0,123.45,5.58,126.67,121.08,123.24,124.6,121.64,True
SPC001210,2024-04-28,EQ0002,Grader 2,Grader,Hydraulic Pressure (PSI),3000,150.0,3015.42,221.17,2912.12,3133.29,3029.5,3045.24,2956.96,False
SPC001211,2024-07-11,EQ0004,Excavator 4,Excavator,Bolt Torque (Nm),200,15.0,200.81,8.72,195.89,203.55,198.77,201.22,204.61,True
SPC001212,2024-10-29,EQ0010,Excavator 10,Excavator,Weld Strength (MPa),450,30.0,479.0,29.95,468.42,471.29,473.34,483.56,498.38,False
SPC001213,2024-06-05,EQ0043,Excavator 43,Excavator,Alignment Deviation (mm),0,0.5,-0.1,0.68,-0.3,0.23,-0.45,0.16,-0.16,True
SPC001214,2024-11-07,EQ0004,Excavator 4,Excavator,Weld Strength (MPa),450,30.0,455.01,23.85,449.92,442.14,454.75,465.98,462.27,True
SPC001215,2022-12-22,EQ0005,Loader 5,Loader,Weld Strength (MPa),450,30.0,454.81,31.74,463.15,443.69,457.72,438.89,470.62,True
SPC001216,2023-10-22,EQ0031,Loader 31,Loader,Alignment Deviation (mm),0,0.5,-0.16,0.17,-0.07,-0.24,-0.13,-0.12,-0.21,True
SPC001217,2024-05-07,EQ0042,Bulldozer 42,Bulldozer,Alignment Deviation (mm),0,0.5,-0.08,0.64,0.29,-0.17,-0.14,-0.35,-0.02,True
SPC001218,2023-05-24,EQ0033,Grader 33,Grader,Paint Thickness (microns),120,10.0,118.11,11.08,113.01,118.96,117.32,117.18,124.09,True
SPC001219,2023-12-04,EQ0029,Bulldozer 29,Bulldozer,Paint Thickness (microns),120,10.0,116.74,6.52,112.42,116.93,118.93,118.93,116.48,True
SPC001220,2022-10-01,EQ0012,Dump Truck 12,Dump Truck,Weld Strength (MPa),450,30.0,458.28,22.16,448.59,456.54,452.62,470.75,462.9,True
SPC001221,2024-11-15,EQ0033,Grader 33,Grader,Paint Thickness (microns),120,10.0,116.57,5.59,117.58,118.91,113.32,116.93,116.13,True
SPC001222,2023-10-05,EQ0019,Loader 19,Loader,Alignment Deviation (mm),0,0.5,-0.04,0.26,0.09,-0.11,0.05,-0.04,-0.17,True
SPC001223,2023-02-16,EQ0045,Crane 45,Crane,Weld Strength (MPa),450,30.0,455.03,27.15,460.42,467.16,440.01,441.73,465.8,True
SPC001224,2023-08-19,EQ0003,Excavator 3,Excavator,Paint Thickness (microns),120,10.0,130.04,15.12,121.43,132.13,133.76,136.55,126.34,False
SPC001225,2023-10-23,EQ0015,Bulldozer 15,Bulldozer,Hydraulic Pressure (PSI),3000,150.0,3025.48,77.86,3000.72,2983.82,3034.55,3061.69,3046.62,True
SPC001226,2024-09-10,EQ0036,Bulldozer 36,Bulldozer,Alignment Deviation (mm),0,0.5,-0.08,0.36,0.1,-0.11,-0.14,0.0,-0.26,True
SPC001227,2024-05-04,EQ0010,Excavator 10,Excavator,Alignment Deviation (mm),0,0.5,-0.0,0.4,0.02,-0.12,0.13,0.18,-0.22,True
SPC001228,2024-05-15,EQ0028,Crane 28,Crane,Hydraulic Pressure (PSI),3000,150.0,2956.77,103.0,3021.6,2919.92,2939.97,2918.6,2983.75,True
SPC001229,2022-02-21,EQ0047,Grader 47,Grader,Bolt Torque (Nm),200,15.0,196.87,10.41,202.76,192.35,195.16,193.16,200.91,True
SPC001230,2022-04-26,EQ0046,Excavator 46,Excavator,Weld Strength (MPa),450,30.0,444.38,16.76,449.2,449.29,442.23,432.52,448.65,True
SPC001231,2022-11-26,EQ0012,Dump Truck 12,Dump Truck,Paint Thickness (microns),120,10.0,119.09,6.23,117.81,117.96,119.64,116.9,123.13,True
SPC001232,2022-10-27,EQ0047,Grader 47,Grader,Hydraulic Pressure (PSI),3000,150.0,2990.1,103.25,2955.92,3007.76,3039.41,3011.24,2936.16,True
SPC001233,2023-08-28,EQ0040,Crane 40,Crane,Weld Strength (MPa),450,30.0,453.06,13.57,462.03,454.05,448.47,448.77,452.01,True
SPC001234,2022-03-08,EQ0042,Bulldozer 42,Bulldozer,Paint Thickness (microns),120,10.0,121.92,11.44,117.23,128.66,119.79,123.31,120.58,True
SPC001235,2022-07-29,EQ0048,Bulldozer 48,Bulldozer,Alignment Deviation (mm),0,0.5,0.06,0.35,-0.12,0.07,0.24,0.2,-0.07,True
SPC001236,2023-04-05,EQ0005,Loader 5,Loader,Alignment Deviation (mm),0,0.5,0.02,0.43,0.21,0.17,-0.01,-0.02,-0.22,True
SPC001237,2024-11-12,EQ0012,Dump Truck 12,Dump Truck,Paint Thickness (microns),120,10.0,118.6,8.24,119.23,116.74,119.12,114.83,123.07,True
SPC001238,2022-04-07,EQ0006,Dump Truck 6,Dump Truck,Bolt Torque (Nm),200,15.0,197.79,12.47,197.41,193.86,198.31,193.44,205.91,True
SPC001239,2023-10-03,EQ0006,Dump Truck 6,Dump Truck,Alignment Deviation (mm),0,0.5,-0.01,0.36,-0.19,0.17,-0.07,0.14,-0.08,True
SPC001240,2023-05-30,EQ0018,Grader 18,Grader,Weld Strength (MPa),450,30.0,452.71,16.88,455.29,461.83,449.74,444.95,451.72,True
SPC001241,2024-06-26,EQ0030,Loader 30,Loader,Weld Strength (MPa),450,30.0,453.27,21.47,454.57,460.26,446.34,441.86,463.33,True
SPC001242,2024-01-24,EQ0034,Bulldozer 34,Bulldozer,Alignment Deviation (mm),0,0.5,-0.01,0.31,0.05,0.15,-0.11,0.02,-0.16,True
SPC001243,2023-02-07,EQ0027,Dump Truck 27,Dump Truck,Weld Strength (MPa),450,30.0,452.66,33.21,449.1,448.95,460.87,435.58,468.79,True
SPC001244,2022-12-30,EQ0035,Loader 35,Loader,Hydraulic Pressure (PSI),3000,150.0,2943.99,123.47,2905.01,2923.26,3028.49,2956.07,2907.1,True
SPC001245,2022-12-22,EQ0011,Bulldozer 11,Bulldozer,Alignment Deviation (mm),0,0.5,0.16,0.36,-0.03,0.23,0.02,0.28,0.32,True
SPC001246,2022-03-25,EQ0022,Excavator 22,Excavator,Bolt Torque (Nm),200,15.0,201.99,13.7,207.92,203.78,202.08,194.22,201.94,True
SPC001247,2023-06-26,EQ0016,Dump Truck 16,Dump Truck,Weld Strength (MPa),450,30.0,455.2,33.43,453.75,469.04,435.61,452.91,464.68,True
